id	nom	typeLibelle	typeCode	rangChallenges	mediaType	mediaPeriodicite	mediaEchelle	commentaire
3564056	Famille Saint-Cricq	Personne physique	1					
8063816	Groupe La Montagne	Personne morale	2					
9233930	La Montagne	Média	3		Régional	Quotidien	Régional	
7288389	Le Populaire du centre	Média	3		Régional	Quotidien	Régional	
7535482	Le Journal du centre	Média	3		Régional	Quotidien	Régional	
5322527	Le Berry républicain	Média	3		Régional	Quotidien	Régional	
7016121	L’Yonne Républicaine	Média	3		Régional	Quotidien	Régional	
1267657	L’Echo Républicain	Média	3		Régional	Quotidien	Régional	
7959790	Courrier du Loiret	Média	3		Régional	Hebdomadaire	Régional	
6335872	L’Eclaireur du Gâtinais	Média	3		Régional	Hebdomadaire	Régional	
1348219	Régional de Cosne	Média	3		Régional	Hebdomadaire	Régional	
5240306	L’Echo Charitois	Média	3		Régional	Hebdomadaire	Régional	
3659039	Pays Roannais	Média	3		Régional	Hebdomadaire	Régional	
5745343	La Liberté	Média	3		Régional	Hebdomadaire	Régional	
2074816	Journal de Gien	Média	3		Régional	Hebdomadaire	Régional	
7951326	La République du Centre	Média	3		Régional	Quotidien	Régional	
6647858	Groupe NRCO	Personne morale	2					
2607244	Nouvelle République du Centre	Média	3		Régional	Quotidien	Régional	
748880	Centre Presse	Média	3		Régional	Quotidien	Régional	
7250259	TV Tours	Média	3		Régional		Régional	Télévision
5999444	Famille Baylet	Personne physique	1					
5551406	Groupe La Dépêche	Personne morale	2					
6858854	La Dépêche du midi	Média	3		Régional	Quotidien	Régional	
6827344	Le Petit Bleu	Média	3		Régional	Quotidien	Régional	
5660875	La Nouvelle République des Pyrénées	Média	3		Régional	Quotidien	Régional	
2521856	Le Villefranchois	Média	3		Régional	Hebdomadaire	Régional	
5524103	La Gazette du Comminges	Média	3		Régional	Hebdomadaire	Régional	
5195002	Les Journaux du midi	Personne morale	2					
4073019	Midi libre	Média	3		Régional	Quotidien	Régional	
4290485	L'Indépendant	Média	3		Régional	Quotidien	Régional	
9879017	Centre Presse Aveyron	Média	3		Régional	Quotidien	Régional	
5142154	Famille Lemoine	Personne physique	1					
9296939	Groupe Sud Ouest	Personne morale	2					
2221388	Sud Ouest	Média	3		Régional	Quotidien	Régional	
8678694	Charente Libre	Média	3		Régional	Quotidien	Régional	
811923	Dordogne Libre	Média	3		Régional	Quotidien	Régional	
4548163	Haute Saintonge	Média	3		Régional	Hebdomadaire	Régional	
9802940	Haute Gironde	Média	3		Régional	Hebdomadaire	Régional	
7207313	Le Résistant	Média	3		Régional	Hebdomadaire	Régional	
1271684	L'Hebdo de Charente-Maritime	Média	3		Régional	Hebdomadaire	Régional	
5511731	La Dépêche du Bassin	Média	3		Régional	Hebdomadaire	Régional	
4384706	Le Journal du Médoc	Média	3		Régional	Hebdomadaire	Régional	
7505854	Pyrénées Presse	Personne morale	2					
3999926	La République des Pyrénées	Média	3		Régional	Quotidien	Régional	
2652335	L'Eclair	Média	3		Régional	Quotidien	Régional	
212125	Édouard Coudurier	Personne physique	1					
2125924	Groupe Télégramme	Personne morale	2					
9050210	Le Télégramme	Média	3		Régional	Quotidien	Régional	
8810353	Le Poher	Média	3		Régional	Quotidien	Régional	
6409372	Tébéo	Média	3		Régional		Régional	Télévision
4146986	Tébésud	Média	3		Régional		Régional	Télévision
4834494	Le Mensuel de Rennes	Média	3		Régional	Mensuel	Régional	
4848931	Sept Jours à Brest	Média	3		Régional	Hebdomadaire	Régional	
3845082	Le Journal des entreprises	Média	3		Régional	Mensuel	Régional	
5045276	Bretagne magazine	Média	3		Régional	Hebdomadaire	Régional	
9431310	Bernard Tapie	Personne physique	1					
3818653	Nethys	Personne morale	2					
2957552	Publifin	Personne morale	2					
1128184	Province de Liège	État	4					
7139708	Groupe La Provence	Personne morale	2					
7207683	Nice-Matin	Média	3		Régional	Quotidien	Régional	
587694	Corse Matin	Média	3		Régional	Quotidien	Régional	
8732818	La Provence	Média	3		Régional	Quotidien	Régional	
8564572	Jean-Louis Louvel	Personne physique	1					
5176537	Société Normande d'Information et de Communication	Personne morale	2					
7592432	Paris-Normandie	Média	3		Régional	Quotidien	Régional	
8160868	Havre Libre	Média	3		Régional	Quotidien	Régional	
3980734	Le Progrès de Fécamp	Média	3		Régional	Quotidien	Régional	
6374949	Liberté Dimanche	Média	3		Régional	Hebdomadaire	Régional	
615313	Havre Dimanche	Média	3		Régional	Hebdomadaire	Régional	
6384800	Normandie Dimanche	Média	3		Régional	Hebdomadaire	Régional	
3909449	Philippe Hersant	Personne physique	1					
1940512	Éditions Suisses Holding	Personne morale	2					
740962	Groupe Hersant Média	Personne morale	2					
9000724	Groupe Filanosa	Personne morale	2					
7917088	Rhône Média	Personne morale	2					
2562004	La Côte (Nyon)	Média	3		Suisse			
9004528	L'Express (Neuchâtel)	Média	3		Suisse			
2585119	L'Impartial (La Chaux-de-Fonds)	Média	3		Suisse			
2473423	Le Nouvelliste	Média	3		Suisse			
7137459	La Gazette de Martigny	Média	3		Suisse			
3689536	Le Journal de Sierre	Média	3		Suisse			
9641903	France Antilles	Média	3		Régional	Quotidien	Régional	
1381672	France Guyane	Média	3		Régional	Quotidien	Régional	
6464227	Abdoul Cadjee	Personne physique	1					
7189580	Le Journal de l'Île de la Réunion	Média	3		Régional	Quotidien	Régional	
9691035	Benjamin et Ariane de Rothschild	Personne physique	1	21				
7784368	Lampsane Investissement SA	Personne morale	2					
5654365	Slate.fr	Média	3		Site			Pure player
866931	Jean-Sébastien Ferjou	Personne physique	1					
1652146	Pierre Guyot	Personne physique	1					
5017381	Gérard Lignac	Personne physique	1					
4529770	Atlantico.fr	Média	3		Site			Pure player
4734614	Franck Julien	Personne physique	1	132				
4687314	Edi Invest	Personne morale	2					
4695772	Jean Christophe Tortora	Personne physique	1					
6107549	Laurent Alexandre	Personne physique	1					
5111613	Hima Groupe	Personne morale	2					
6921286	La Tribune	Média	3		Site			
4348795	i24 News	Média	3		Télévision			
9479125	Elle	Média	3			Hebdomadaire	Féminin	
7413735	Le Nouveau Magazine littéraire	Média	3		GPE	Mensuel		
